图书名字,作者,引述,出版社,发行日期,价格,评分,评价人数,图书详细链接
《他的国》,韩寒,总有光芒将你引导到清澈的地方,万卷出版公司,2009-1,25.00元,7.5,50111人评价,https://book.douban.com/subject/3394338/
《彼岸花》,安妮宝贝,安妮宝贝第一部长篇，现实与虚构的重合,南海出版公司,2001-9,20.00元,7.8,48303人评价,https://book.douban.com/subject/1065970/
《西决》,笛安,无关风月的非典型青春小说,长江文艺出版社,2009-3,22.80元,7.9,46904人评价,https://book.douban.com/subject/3598313/
《东方快车谋杀案》,[英] 阿加莎·克里斯蒂,谋杀诡计惊人，波洛的抉择耐人寻味,人民文学出版社,2006-5,18.00元,9.0,35099人评价,https://book.douban.com/subject/1827374/
《挪威的森林》,[日] 村上春树,初读是色情，再读是爱情，三读是世情,上海译文出版社,2007-7,23.00元,8.4,44240人评价,https://book.douban.com/subject/2159042/
《这些都是你给我的爱》,文：安东尼,只言片语的温暖,长江文艺出版社,2010-3,24.80元,8.4,43716人评价,https://book.douban.com/subject/4714734/
《这些人，那些事》,吴念真,平淡叙述下的惊心动魄,译林出版社,2011-9,28.00元,8.8,42391人评价,https://book.douban.com/subject/6388661/
《八月未央》,安妮宝贝,八月是一阵季风，生命是一场幻觉,作家出版社,2001-1,16.00元,7.5,47836人评价,https://book.douban.com/subject/1029159/
《当我谈跑步时我谈些什么》,[日] 村上春树,村上同志告诉我们，身体是革命的本钱,南海出版公司,2009-1,25.00,8.1,44273人评价,https://book.douban.com/subject/3369600/
《明朝那些事儿（贰）》,当年明月,万国来朝与北京保卫战，燃,中国友谊出版公司,2007-1,24.80,8.9,40952人评价,https://book.douban.com/subject/1949338/
《清醒纪》,安妮宝贝,遗忘就和记得一样是送给彼此的纪念,天津人民出版社,2004-10,22.00元,7.9,44780人评价,https://book.douban.com/subject/1030052/
《一个陌生女人的来信》,[奥] 斯台芬·茨威格,暗恋的极致,上海译文出版社,2007-7,20.00元,8.6,41712人评价,https://book.douban.com/subject/2154960/
《蔡康永的说话之道》,蔡康永 著,会说话的人运气都不会太差,沈阳出版社,2010-10,25.00元,7.1,48085人评价,https://book.douban.com/subject/5317075/
《偷影子的人》,(法)马克·李维,为偷来的影子找到光芒,湖南文艺出版社,2012-6-20,29.80元,7.8,45109人评价,https://book.douban.com/subject/10763902/
《陪安东尼度过漫长岁月》,安东尼,真正的片段式写作,长江文艺出版社,2008-3,18.00,8.4,41702人评价,https://book.douban.com/subject/3014576/
《沉默的大多数》,王小波,沉默是沉默者的通行证,中国青年出版社,1997-10,27.00元,9.0,39341人评价,https://book.douban.com/subject/1054685/
